cena,powierzchnia,wiek,czynsz,pokoje,piętro,wysokość budynku,odległość od centrum,miasto,zabudowa,wykończenie,okna,ogrzewanie
749000,50.0,9.0,648.0,2.0,3,3.0,10.27,Warszawa,blok,,,miejskie
790000,53.39,51.0,872.0,3.0,9,10.0,5.04,Warszawa,blok,do wykończenia,plastikowe,miejskie
175000,21.0,87.0,170.0,1.0,2,2.0,19.98,Wołomin,kamienica,do remontu,plastikowe,elektryczne
749000,42.0,54.0,950.0,3.0,3,10.0,4.45,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1771100,89.0,32.0,2350.0,4.0,1,5.0,0.93,Warszawa,blok,do zamieszkania,,miejskie
1088000,69.5,46.0,1000.0,3.0,4,10.0,8.51,Warszawa,blok,do zamieszkania,plastikowe,miejskie
829000,56.5,59.0,928.0,3.0,parter,4.0,4.69,Warszawa,blok,,,miejskie
485000,33.55,,700.0,1.0,2,4.0,4.84,Warszawa,kamienica,do remontu,plastikowe,miejskie
870000,94.4,,764.0,4.0,3,3.0,91.19,Radom,blok,do zamieszkania,,
910000,61.4,46.0,1400.0,3.0,3,10.0,8.43,Warszawa,blok,do zamieszkania,plastikowe,miejskie
495000,26.3,,460.0,1.0,2,4.0,2.37,Warszawa,blok,,,
999000,65.22,11.0,780.0,2.0,3,3.0,7.61,Warszawa,apartamentowiec,do zamieszkania,,gazowe
651280,46.52,-1.0,,2.0,parter,2.0,13.01,Warszawa,blok,do wykończenia,plastikowe,miejskie
465000,37.3,53.0,970.0,2.0,parter,10.0,6.62,Warszawa,blok,do remontu,plastikowe,miejskie
696000,63.0,50.0,980.0,3.0,2,4.0,15.79,Pruszków,blok,do remontu,plastikowe,miejskie
580000,36.56,91.0,850.0,3.0,2,2.0,5.05,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1990000,81.0,70.0,890.0,3.0,6,7.0,2.05,Warszawa,blok,do remontu,plastikowe,miejskie
658000,38.7,,860.0,2.0,3,11.0,1.39,Warszawa,blok,do remontu,plastikowe,miejskie
897328,65.98,-1.0,,3.0,1,2.0,13.02,Warszawa,blok,do wykończenia,plastikowe,miejskie
499000,60.0,,,3.0,3,,95.73,Płock,blok,do zamieszkania,plastikowe,
939000,55.25,18.0,850.0,3.0,1,3.0,4.79,Warszawa,blok,do zamieszkania,,miejskie
740000,55.68,74.0,720.0,2.0,1,2.0,8.1,Warszawa,blok,do remontu,plastikowe,kotłownia
789000,36.15,57.0,750.0,2.0,4,6.0,3.91,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1070000,78.0,26.0,600.0,2.0,1,3.0,12.04,Warszawa,kamienica,do zamieszkania,drewniane,miejskie
670000,51.02,52.0,1020.0,3.0,5,11.0,4.76,Warszawa,blok,do wykończenia,plastikowe,miejskie
599000,29.35,7.0,520.0,2.0,8,8.0,6.34,Warszawa,blok,do zamieszkania,plastikowe,miejskie
675000,50.0,24.0,1000.0,2.0,5,7.0,10.71,Warszawa,blok,do zamieszkania,plastikowe,miejskie
500000,32.5,54.0,567.0,2.0,parter,10.0,5.75,Warszawa,blok,do wykończenia,plastikowe,miejskie
674730,27.0,87.0,280.0,1.0,parter,4.0,1.56,Warszawa,kamienica,do remontu,,gazowe
800000,43.12,10.0,700.0,2.0,parter,5.0,7.47,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
723300,42.8,25.0,530.0,2.0,parter,2.0,9.28,Warszawa,blok,do zamieszkania,plastikowe,miejskie
769000,49.29,9.0,659.0,3.0,parter,2.0,12.75,Warszawa,blok,do zamieszkania,,kotłownia
545000,43.4,10.0,360.0,3.0,3,3.0,91.68,Płock,blok,do zamieszkania,plastikowe,miejskie
2900000,111.7,12.0,,4.0,9,9.0,3.78,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
635000,38.0,60.0,604.0,2.0,4,4.0,2.33,Warszawa,blok,do remontu,,miejskie
625000,42.05,10.0,,2.0,1,4.0,12.94,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1150000,74.0,74.0,,2.0,3,,3.33,Warszawa,kamienica,,,
520000,30.0,5.0,670.0,1.0,parter,3.0,13.17,Warszawa,blok,do zamieszkania,plastikowe,miejskie
899000,55.0,4.0,850.0,3.0,parter,7.0,13.07,Warszawa,apartamentowiec,do zamieszkania,,miejskie
990000,65.0,18.0,,2.0,2,16.0,4.43,Warszawa,apartamentowiec,do remontu,,miejskie
830000,39.65,1.0,817.0,2.0,2,6.0,4.13,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1199000,81.5,,1500.0,3.0,1,5.0,6.38,Warszawa,blok,do zamieszkania,drewniane,miejskie
1040000,115.73,22.0,,4.0,1,3.0,15.21,Łomianki,blok,do zamieszkania,,miejskie
869000,36.18,63.0,800.0,2.0,9,11.0,0.59,Warszawa,blok,do zamieszkania,,miejskie
2350000,79.3,19.0,1000.0,3.0,1,6.0,0.98,Warszawa,apartamentowiec,do zamieszkania,,miejskie
820000,40.47,1.0,825.0,2.0,1,6.0,4.13,Warszawa,apartamentowiec,do zamieszkania,,miejskie
965000,45.34,68.0,600.0,2.0,2,4.0,0.64,Warszawa,kamienica,do remontu,,miejskie
850000,47.8,11.0,800.0,2.0,1,3.0,4.65,Warszawa,apartamentowiec,do zamieszkania,,miejskie
756000,47.3,61.0,950.0,3.0,parter,4.0,4.11,Warszawa,blok,do remontu,,miejskie
650000,55.0,0.0,,2.0,parter,1.0,20.74,Legionowo,apartamentowiec,do wykończenia,plastikowe,gazowe
695000,35.14,,360.0,1.0,1,8.0,7.34,Warszawa,apartamentowiec,,,miejskie
800000,59.49,6.0,950.0,3.0,4,4.0,21.06,Brwinów,blok,do zamieszkania,,inne
848000,65.0,37.0,884.0,3.0,2,3.0,6.75,Warszawa,blok,do remontu,plastikowe,miejskie
820000,38.8,4.0,805.0,2.0,1,6.0,4.26,Warszawa,apartamentowiec,do zamieszkania,,miejskie
720000,46.9,51.0,800.0,3.0,5,10.0,4.13,Warszawa,blok,do remontu,,miejskie
1635000,115.2,27.0,2115.0,5.0,3,4.0,4.86,Warszawa,blok,do zamieszkania,plastikowe,
839000,50.33,22.0,677.0,2.0,1,4.0,11.03,Warszawa,blok,,,miejskie
1070000,61.32,17.0,764.0,3.0,5,10.0,6.57,Warszawa,blok,do zamieszkania,,miejskie
670000,48.0,58.0,840.0,3.0,3,4.0,4.69,Warszawa,blok,,,miejskie
945000,63.3,40.0,1200.0,3.0,3,3.0,10.91,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1124000,62.45,14.0,1400.0,2.0,1,8.0,7.09,Warszawa,blok,do zamieszkania,,miejskie
1259000,54.0,90.0,1000.0,2.0,parter,3.0,2.12,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1110000,69.3,46.0,650.0,4.0,2,4.0,10.36,Warszawa,blok,do zamieszkania,plastikowe,miejskie
614000,23.3,20.0,700.0,1.0,3,6.0,3.35,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1242000,46.0,17.0,,2.0,3,14.0,0.59,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
1599000,75.52,12.0,1580.0,4.0,2,2.0,7.56,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
480000,24.6,56.0,562.0,1.0,6,10.0,4.01,Warszawa,blok,do zamieszkania,,miejskie
799000,50.0,6.0,1000.0,2.0,parter,4.0,10.58,Warszawa,blok,do zamieszkania,plastikowe,inne
729000,41.0,68.0,580.0,2.0,1,6.0,3.53,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1125000,62.5,25.0,1100.0,3.0,1,3.0,9.75,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
1343000,74.3,26.0,1500.0,3.0,3,4.0,5.66,Warszawa,blok,,,miejskie
749000,56.0,53.0,913.0,3.0,8,10.0,6.33,Warszawa,blok,do remontu,plastikowe,miejskie
910000,59.14,21.0,1060.0,3.0,4,5.0,10.25,Warszawa,blok,do zamieszkania,plastikowe,miejskie
685000,55.0,14.0,1100.0,3.0,1,2.0,15.44,Kręczki,blok,do zamieszkania,plastikowe,gazowe
499000,31.52,61.0,660.0,1.0,2,7.0,3.49,Warszawa,blok,do remontu,,miejskie
1400000,47.0,115.0,809.0,2.0,6,6.0,2.33,Warszawa,kamienica,do zamieszkania,,miejskie
890000,54.2,52.0,1200.0,3.0,6,15.0,5.96,Warszawa,blok,do zamieszkania,plastikowe,miejskie
900000,61.2,53.0,1050.0,3.0,2,12.0,7.06,Warszawa,blok,do zamieszkania,plastikowe,miejskie
720000,42.4,56.0,815.0,2.0,3,10.0,6.99,Warszawa,blok,do zamieszkania,plastikowe,miejskie
2990000,130.0,28.0,2000.0,4.0,1,2.0,8.66,Warszawa,blok,do zamieszkania,plastikowe,miejskie
900000,48.29,10.0,880.0,2.0,2,6.0,4.86,Warszawa,blok,do zamieszkania,plastikowe,miejskie
560000,38.93,60.0,640.0,2.0,3,4.0,4.34,Warszawa,blok,do remontu,drewniane,miejskie
689999,57.18,16.0,650.0,3.0,1,4.0,10.63,Ząbki,blok,do zamieszkania,,inne
1189000,70.11,16.0,1150.0,3.0,5,6.0,7.22,Warszawa,blok,do zamieszkania,plastikowe,miejskie
930000,30.66,7.0,780.0,1.0,4,6.0,1.93,Warszawa,apartamentowiec,do zamieszkania,aluminiowe,miejskie
3460000,164.96,8.0,,6.0,parter,3.0,9.65,Warszawa,blok,do zamieszkania,,miejskie
1299000,59.75,10.0,832.0,3.0,3,5.0,5.22,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
950000,85.2,31.0,1299.0,4.0,2,3.0,6.57,Warszawa,blok,do wykończenia,drewniane,miejskie
750000,55.5,54.0,1208.0,2.0,7,10.0,4.66,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1060000,81.63,18.0,1400.0,3.0,1,3.0,10.64,Warszawa,apartamentowiec,do zamieszkania,,miejskie
469000,26.07,0.0,,1.0,2,3.0,8.12,Warszawa,apartamentowiec,do wykończenia,plastikowe,miejskie
599000,35.7,68.0,600.0,2.0,6,7.0,3.2,Warszawa,blok,do zamieszkania,plastikowe,miejskie
7900000,342.55,15.0,5500.0,4.0,8,8.0,0.89,Warszawa,apartamentowiec,,,miejskie
736000,54.48,69.0,750.0,2.0,3,3.0,5.05,Warszawa,kamienica,do remontu,plastikowe,miejskie
870000,38.0,1.0,,2.0,4,9.0,5.77,Warszawa,blok,do wykończenia,plastikowe,miejskie
1049000,60.0,14.0,850.0,3.0,6,7.0,6.05,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1499000,80.0,7.0,1300.0,4.0,6,7.0,6.24,Warszawa,blok,do zamieszkania,,miejskie
799000,62.0,9.0,820.0,3.0,6,11.0,16.74,Pruszków,apartamentowiec,do zamieszkania,plastikowe,miejskie
1020000,63.39,5.0,940.0,3.0,1,6.0,8.76,Warszawa,blok,do zamieszkania,,miejskie
870000,59.17,1.0,528.0,3.0,3,3.0,14.15,Ożarów Mazowiecki,blok,do zamieszkania,plastikowe,miejskie
1250000,54.88,8.0,1000.0,3.0,,17.0,5.61,Warszawa,blok,do zamieszkania,plastikowe,miejskie
649000,37.08,,,2.0,6,11.0,4.13,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1140000,63.67,3.0,574.0,3.0,4,6.0,4.42,Warszawa,blok,do zamieszkania,plastikowe,miejskie
699000,31.0,68.0,450.0,2.0,7,8.0,3.25,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1050000,60.1,26.0,1200.0,3.0,2,2.0,9.33,Warszawa,blok,do zamieszkania,plastikowe,gazowe
1283620,49.37,1.0,1000.0,3.0,parter,6.0,7.95,Warszawa,apartamentowiec,do zamieszkania,,miejskie
1320000,79.59,8.0,1000.0,4.0,2,3.0,7.13,Warszawa,apartamentowiec,do wykończenia,plastikowe,miejskie
960000,56.7,21.0,812.0,2.0,5,6.0,7.29,Warszawa,blok,do zamieszkania,plastikowe,miejskie
420000,51.0,70.0,,3.0,3,4.0,93.64,Radom,blok,do zamieszkania,,miejskie
790000,29.3,1.0,550.0,1.0,2,6.0,5.74,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
440000,45.0,20.0,850.0,1.0,2,2.0,32.43,Serock,apartamentowiec,do zamieszkania,plastikowe,inne
1860000,89.0,13.0,1147.0,4.0,2,8.0,6.3,Warszawa,apartamentowiec,do zamieszkania,,miejskie
910000,55.07,9.0,900.0,2.0,1,4.0,7.28,Warszawa,blok,do zamieszkania,plastikowe,miejskie
839000,54.32,52.0,1126.0,3.0,7,10.0,4.83,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1054500,57.0,,1000.0,2.0,1,,6.83,Warszawa,apartamentowiec,do zamieszkania,,
720000,49.3,50.0,1200.0,2.0,1,11.0,3.06,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1475000,54.14,9.0,727.0,2.0,5,,4.69,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
390000,37.6,,450.0,2.0,1,,92.14,Radom,apartamentowiec,,,miejskie
1297800,63.0,7.0,1250.0,3.0,1,8.0,7.78,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
680000,37.5,64.0,544.0,1.0,parter,3.0,3.57,Warszawa,blok,do zamieszkania,plastikowe,miejskie
695000,35.0,64.0,,2.0,parter,2.0,3.67,Warszawa,blok,do zamieszkania,,miejskie
3790000,194.5,30.0,4000.0,5.0,3,6.0,7.55,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
629000,47.16,61.0,620.0,2.0,parter,2.0,8.58,Warszawa,blok,do zamieszkania,,miejskie
355000,46.46,46.0,600.0,3.0,3,4.0,91.53,Radom,blok,do zamieszkania,,miejskie
670000,75.0,18.0,670.0,3.0,3,3.0,91.24,Radom,blok,do zamieszkania,,miejskie
3522240,440.28,98.0,1000.0,,poddasze,4.0,2.63,Warszawa,kamienica,do wykończenia,plastikowe,miejskie
3290000,140.0,17.0,2250.0,5.0,2,2.0,9.73,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
1020000,51.66,6.0,,2.0,5,5.0,5.73,Warszawa,blok,do zamieszkania,plastikowe,miejskie
999000,41.23,2.0,,2.0,3,4.0,10.13,Warszawa,blok,do zamieszkania,drewniane,miejskie
2368000,95.52,78.0,1580.0,3.0,3,3.0,0.85,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
1149000,69.7,33.0,1200.0,3.0,1,6.0,3.24,Warszawa,blok,do remontu,,miejskie
570000,44.1,25.0,850.0,2.0,6,7.0,10.79,Warszawa,blok,do remontu,,kotłownia
660000,60.0,42.0,1150.0,3.0,3,8.0,15.19,Pruszków,blok,do zamieszkania,plastikowe,miejskie
949999,66.0,0.0,800.0,3.0,2,4.0,10.03,Warszawa,blok,do zamieszkania,plastikowe,miejskie
670000,50.1,48.0,800.0,2.0,7,11.0,6.38,Warszawa,blok,do remontu,plastikowe,miejskie
739000,39.0,8.0,630.0,2.0,2,7.0,2.56,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
2590800,93.0,101.0,1500.0,3.0,4,4.0,1.74,Warszawa,kamienica,do zamieszkania,drewniane,miejskie
590000,56.0,3.0,600.0,3.0,1,3.0,91.46,Radom,blok,do zamieszkania,plastikowe,miejskie
1400000,37.63,6.0,1000.0,2.0,4,8.0,1.35,Warszawa,apartamentowiec,do zamieszkania,,miejskie
5240000,163.8,17.0,3000.0,5.0,4,6.0,1.73,Warszawa,apartamentowiec,do zamieszkania,,miejskie
789000,56.0,56.0,880.0,3.0,4,4.0,6.45,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1249000,81.0,29.0,950.0,3.0,2,4.0,6.43,Warszawa,blok,do zamieszkania,drewniane,miejskie
1490000,69.0,18.0,1200.0,3.0,3,8.0,4.6,Warszawa,blok,do zamieszkania,,miejskie
1219000,53.42,70.0,750.0,2.0,1,5.0,4.38,Warszawa,kamienica,do zamieszkania,,miejskie
439000,47.52,39.0,350.0,2.0,parter,,26.84,Błonie,blok,do remontu,plastikowe,kotłownia
579500,40.3,16.0,570.0,2.0,1,2.0,10.1,Warszawa,blok,do wykończenia,plastikowe,
230000,37.58,50.0,450.0,2.0,1,4.0,100.63,Ostrołęka,blok,do remontu,plastikowe,miejskie
1650000,74.75,3.0,905.0,3.0,6,9.0,8.11,Warszawa,apartamentowiec,do zamieszkania,,miejskie
869000,43.5,14.0,900.0,2.0,2,14.0,3.49,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
720000,51.0,12.0,830.0,2.0,3,3.0,16.5,Pruszków,blok,do zamieszkania,,
345000,45.61,63.0,650.0,2.0,4,4.0,91.72,Radom,blok,do zamieszkania,,miejskie
850000,82.0,5.0,800.0,4.0,parter,4.0,97.22,Radom,blok,do zamieszkania,,miejskie
4790000,186.0,115.0,1450.0,6.0,2,6.0,1.2,Warszawa,kamienica,,,miejskie
4825000,112.24,8.0,,4.0,> 10,14.0,1.02,Warszawa,apartamentowiec,do zamieszkania,aluminiowe,miejskie
440000,25.0,57.0,490.0,1.0,8,10.0,1.88,Warszawa,blok,do zamieszkania,plastikowe,miejskie
579000,47.0,47.0,,2.0,,,23.38,Otwock,blok,do zamieszkania,,miejskie
589000,31.57,46.0,750.0,2.0,> 10,16.0,5.75,Warszawa,blok,do zamieszkania,plastikowe,miejskie
558000,55.53,4.0,500.0,2.0,parter,4.0,92.39,Radom,blok,do zamieszkania,plastikowe,kotłownia
658000,48.6,42.0,1000.0,2.0,10,10.0,5.79,Warszawa,blok,,plastikowe,miejskie
480000,64.14,,,3.0,1,4.0,93.77,Radom,blok,do zamieszkania,,miejskie
550000,30.7,98.0,340.0,2.0,5,5.0,3.36,Warszawa,kamienica,do zamieszkania,plastikowe,gazowe
769000,52.0,42.0,1200.0,3.0,> 10,12.0,10.41,Warszawa,blok,do zamieszkania,plastikowe,miejskie
959000,46.8,9.0,700.0,2.0,2,6.0,4.61,Warszawa,blok,do wykończenia,plastikowe,miejskie
899000,68.74,50.0,1470.0,5.0,10,12.0,7.41,Warszawa,blok,do zamieszkania,plastikowe,miejskie
659000,37.18,,580.0,2.0,3,3.0,6.82,Warszawa,blok,do zamieszkania,plastikowe,miejskie
550000,33.47,68.0,640.0,1.0,2,6.0,3.89,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
950000,117.56,86.0,700.0,3.0,1,2.0,93.28,Radom,kamienica,do zamieszkania,,miejskie
420000,44.0,,,3.0,2,,93.04,Radom,blok,,plastikowe,miejskie
470000,60.2,38.0,850.0,3.0,3,4.0,71.37,Węgrów,blok,do zamieszkania,plastikowe,miejskie
700000,43.6,29.0,585.0,2.0,2,4.0,5.08,Warszawa,blok,do zamieszkania,,miejskie
775000,57.0,56.0,1050.0,3.0,1,10.0,6.01,Warszawa,blok,,,miejskie
645000,60.61,,626.0,2.0,parter,3.0,91.5,Radom,apartamentowiec,do zamieszkania,,miejskie
1060000,53.1,3.0,,2.0,1,2.0,5.95,Warszawa,blok,do zamieszkania,plastikowe,kotłownia
569000,35.8,71.0,600.0,1.0,3,5.0,1.9,Warszawa,kamienica,do remontu,plastikowe,inne
295000,42.0,,650.0,2.0,1,2.0,43.0,Żyrardów,kamienica,do remontu,plastikowe,miejskie
769999,46.0,0.0,590.0,3.0,parter,4.0,10.03,Warszawa,blok,do zamieszkania,plastikowe,miejskie
739000,53.1,,820.0,2.0,10,12.0,8.82,Warszawa,blok,do remontu,,miejskie
2340000,72.0,,1000.0,4.0,3,5.0,2.46,Warszawa,blok,do zamieszkania,,miejskie
719000,54.0,51.0,1000.0,3.0,3,4.0,10.26,Warszawa,blok,do zamieszkania,plastikowe,miejskie
989000,46.21,1.0,700.0,2.0,3,9.0,4.56,Warszawa,apartamentowiec,do wykończenia,plastikowe,inne
2698000,147.3,17.0,2200.0,5.0,2,2.0,9.22,Warszawa,apartamentowiec,do zamieszkania,drewniane,gazowe
950000,49.0,18.0,820.0,2.0,parter,4.0,8.97,Warszawa,apartamentowiec,do zamieszkania,,miejskie
580000,50.0,25.0,750.0,2.0,1,3.0,14.02,Pruszków,blok,do zamieszkania,plastikowe,miejskie
3600000,89.17,116.0,,3.0,2,5.0,1.63,Warszawa,kamienica,do zamieszkania,drewniane,miejskie
1050000,87.04,16.0,1100.0,3.0,5,5.0,17.39,Parzniew,blok,do zamieszkania,drewniane,miejskie
960000,53.0,10.0,750.0,3.0,parter,4.0,5.52,Warszawa,blok,do zamieszkania,plastikowe,miejskie
550000,45.5,58.0,730.0,2.0,4,4.0,14.32,Ożarów Mazowiecki,blok,do zamieszkania,plastikowe,miejskie
1590000,60.0,1.0,,3.0,2,6.0,6.24,Warszawa,blok,do zamieszkania,plastikowe,miejskie
2400000,84.11,,,3.0,parter,4.0,2.05,Warszawa,apartamentowiec,do zamieszkania,aluminiowe,miejskie
595000,53.73,10.0,670.0,2.0,1,4.0,38.95,Mińsk Mazowiecki,blok,do zamieszkania,plastikowe,miejskie
987000,90.6,27.0,1163.0,3.0,4,5.0,11.96,Warszawa,blok,do zamieszkania,plastikowe,inne
1955000,68.66,5.0,1000.0,3.0,1,6.0,5.22,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
1129000,60.0,1.0,,3.0,4,6.0,6.24,Warszawa,blok,do wykończenia,plastikowe,miejskie
710000,42.3,51.0,980.0,2.0,10,10.0,6.78,Warszawa,blok,do wykończenia,plastikowe,miejskie
688000,43.4,27.0,612.0,1.0,4,4.0,8.16,Warszawa,blok,do zamieszkania,plastikowe,miejskie
680000,48.38,55.0,600.0,3.0,4,10.0,4.5,Warszawa,blok,do zamieszkania,plastikowe,miejskie
840000,44.0,76.0,650.0,2.0,6,7.0,2.25,Warszawa,kamienica,,plastikowe,miejskie
1950000,80.0,90.0,1700.0,3.0,4,5.0,2.33,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
674730,27.0,87.0,,1.0,parter,4.0,1.58,Warszawa,kamienica,do zamieszkania,,miejskie
770000,36.07,60.0,630.0,2.0,> 10,14.0,1.95,Warszawa,blok,do zamieszkania,plastikowe,inne
715000,47.54,14.0,,2.0,1,2.0,39.26,Sobienie Szlacheckie,blok,do zamieszkania,,gazowe
750000,48.0,,800.0,3.0,10,10.0,4.38,Warszawa,blok,do zamieszkania,,miejskie
640000,64.81,4.0,580.0,3.0,parter,4.0,92.39,Radom,blok,do zamieszkania,plastikowe,kotłownia
479000,29.8,56.0,,2.0,1,4.0,7.61,Warszawa,blok,do zamieszkania,plastikowe,miejskie
815000,55.0,,,3.0,3,4.0,4.65,Warszawa,blok,do zamieszkania,plastikowe,miejskie
2600000,128.0,14.0,2500.0,5.0,1,4.0,9.61,Warszawa,blok,do zamieszkania,drewniane,miejskie
1450000,79.27,27.0,1200.0,2.0,parter,7.0,5.75,Warszawa,blok,,plastikowe,miejskie
799000,45.14,6.0,879.0,2.0,1,4.0,7.63,Warszawa,blok,do zamieszkania,plastikowe,miejskie
630000,64.0,16.0,,3.0,1,3.0,95.16,Płock,blok,do zamieszkania,,
495000,40.2,28.0,610.0,2.0,3,4.0,10.53,Marki,blok,do zamieszkania,plastikowe,
2570000,96.8,11.0,1793.0,3.0,4,4.0,8.55,Warszawa,blok,do zamieszkania,drewniane,miejskie
670000,53.5,34.0,737.0,2.0,parter,4.0,12.63,Piastów,blok,do zamieszkania,plastikowe,miejskie
1140000,50.0,3.0,570.0,2.0,1,6.0,4.76,Warszawa,apartamentowiec,do zamieszkania,drewniane,miejskie
359000,45.26,63.0,600.0,3.0,2,2.0,95.71,Płock,blok,do remontu,plastikowe,miejskie
699000,47.0,57.0,800.0,3.0,4,4.0,4.79,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1010000,50.64,,,2.0,2,6.0,4.67,Warszawa,blok,do zamieszkania,,miejskie
472000,27.8,62.0,485.0,1.0,4,4.0,3.58,Warszawa,blok,,plastikowe,miejskie
949000,44.16,79.0,,2.0,1,3.0,4.49,Warszawa,kamienica,do remontu,plastikowe,miejskie
519000,48.0,38.0,815.0,2.0,2,4.0,16.96,Pruszków,blok,do remontu,plastikowe,miejskie
1699000,63.74,78.0,1470.0,2.0,3,5.0,2.13,Warszawa,kamienica,do zamieszkania,drewniane,miejskie
1220000,74.6,20.0,1400.0,4.0,parter,6.0,8.64,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1090000,57.36,26.0,,2.0,2,7.0,5.33,Warszawa,blok,do remontu,,elektryczne
630000,41.2,56.0,650.0,2.0,4,7.0,6.3,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1800000,52.5,70.0,890.0,2.0,6,6.0,1.28,Warszawa,kamienica,do zamieszkania,plastikowe,miejskie
699000,53.0,1.0,500.0,3.0,3,5.0,27.92,Nowy Dwór Mazowiecki,apartamentowiec,do zamieszkania,plastikowe,miejskie
1580000,81.0,13.0,1300.0,4.0,8,8.0,6.31,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
665000,56.3,18.0,735.0,2.0,3,3.0,10.17,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1140000,60.31,1.0,850.0,3.0,4,4.0,6.23,Warszawa,apartamentowiec,do zamieszkania,plastikowe,miejskie
629000,47.0,61.0,620.0,2.0,parter,2.0,8.2,Warszawa,blok,do zamieszkania,plastikowe,gazowe
550000,46.4,50.0,600.0,2.0,7,11.0,8.14,Warszawa,blok,do remontu,plastikowe,miejskie
698000,48.4,56.0,770.0,3.0,6,10.0,4.86,Warszawa,blok,do remontu,,
699000,41.6,9.0,500.0,2.0,2,5.0,8.31,Warszawa,blok,do zamieszkania,,
2990000,81.0,1.0,1800.0,3.0,6,28.0,1.61,Warszawa,apartamentowiec,do zamieszkania,aluminiowe,miejskie
719900,37.5,68.0,850.0,2.0,4,5.0,2.09,Warszawa,kamienica,do remontu,drewniane,miejskie
660000,47.0,20.0,,3.0,1,3.0,20.29,Wołomin,blok,do zamieszkania,plastikowe,gazowe
997000,60.89,12.0,770.0,3.0,2,3.0,6.92,Warszawa,blok,do zamieszkania,plastikowe,miejskie
799999,63.0,48.0,900.0,3.0,2,8.0,7.13,Warszawa,blok,do zamieszkania,plastikowe,miejskie
435000,33.5,26.0,500.0,1.0,4,4.0,12.36,Warszawa,blok,do wykończenia,plastikowe,miejskie
1055000,69.22,94.0,970.0,3.0,,,3.32,Warszawa,kamienica,do zamieszkania,drewniane,kotłownia
839000,53.9,57.0,650.0,3.0,6,10.0,2.21,Warszawa,blok,do remontu,plastikowe,miejskie
700000,56.63,20.0,1100.0,3.0,parter,3.0,9.77,Ząbki,blok,do remontu,plastikowe,gazowe
1230445,57.23,0.0,,3.0,1,4.0,6.28,Warszawa,blok,do zamieszkania,plastikowe,miejskie
1380000,71.54,17.0,1070.0,2.0,8,15.0,7.01,Warszawa,apartamentowiec,do zamieszkania,,miejskie
576000,36.4,13.0,450.0,1.0,5,8.0,13.76,Warszawa,apartamentowiec,do zamieszkania,plastikowe,gazowe
780000,59.05,13.0,850.0,3.0,2,4.0,10.07,Ząbki,blok,do zamieszkania,plastikowe,gazowe
495000,50.2,2.0,450.0,2.0,4,4.0,107.38,Mława,blok,do zamieszkania,plastikowe,gazowe
1000000,30.81,12.0,,2.0,6,6.0,1.8,Warszawa,apartamentowiec,do zamieszkania,,miejskie
620000,50.4,25.0,,2.0,parter,,17.07,Piaseczno,blok,do zamieszkania,,miejskie
625000,27.62,7.0,497.0,1.0,6,8.0,2.84,Warszawa,blok,do zamieszkania,plastikowe,miejskie
2550000,123.0,10.0,,4.0,2,4.0,8.91,Warszawa,apartamentowiec,do zamieszkania,,miejskie
899000,58.1,51.0,900.0,6.0,6,10.0,4.06,Warszawa,blok,do zamieszkania,plastikowe,miejskie
